dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
vader_movie,adaptive-perplexity,0.36686231916090994,roberta,0.9006708673,0.8882755757,0.9109350573,0.9034962406,0.8968764797,0.8967581968,0.8958150214,0.8768899650,0.9004824197,0.8637415666,
vader_movie,autoencoder-is,0.24991589018367127,roberta,0.9139756700,0.9063360980,0.9071943091,0.8967148819,0.8948894712,0.9025512592,0.8929915606,0.8938845823,0.8977214027,0.8977214027,
vader_movie,biois,0.3312831184672829,roberta,0.8969082855,0.8969642875,0.9035003867,0.9091534164,0.8835991674,0.9053308494,0.9033744313,0.8985628116,0.8919695034,0.8854140978,
vader_movie,entropy-sublinear-ae-is,0.27642141763870653,roberta,0.9072527551,0.9063903414,0.8977668400,0.9110339467,0.9025418381,0.8959161385,0.8976828642,0.8910554008,0.9043539163,0.9128084176,
vader_movie,gmm-is,0.299899064683082,roberta,0.9044917258,0.8998052354,0.9072807018,0.9016040100,0.9016082374,0.8959109204,0.8815513542,0.8929915606,0.8986537939,0.8890205311,
vader_movie,no-is,0.0,roberta,0.8884672148,0.9053328561,0.8968746336,0.9214283347,0.9025320660,0.9081979748,0.9024074235,0.8976975490,0.8907574742,0.9053016716,
vader_movie,sublinear-ae-is,0.24997897061113888,roberta,0.8851999616,0.9035241109,0.9157982265,0.9081120805,0.8882111052,0.9016061237,0.9062431898,0.9062256973,0.9138250621,0.8871404772,
webkb,adaptive-cluster-is,0.4251458711508005,roberta,0.8068489113,0.7958751694,0.7569129016,0.7638270443,0.7576355929,0.7901218852,0.8284707937,0.7615054704,0.8457251233,0.7685772292,
webkb,adaptive-perplexity,0.4052255877437614,roberta,0.7846309475,0.7155699585,0.7248699331,0.7682769185,0.7680263472,0.7814639237,0.8190895973,0.7933996558,0.8315599443,0.7531932344,
webkb,autoencoder-is,0.24985430986672624,roberta,0.7942611465,0.7559011534,0.7990820052,0.7416001933,0.7808236608,0.7830635035,0.8244703766,0.8122732247,0.8311572434,0.8278035728,
webkb,biois,0.3849385269690523,roberta,0.7858889224,0.7312444493,0.8199483602,0.7605177668,0.7523925487,0.7621471982,0.7974322000,0.8447281473,0.8312212521,0.8174530830,
webkb,entropy-sublinear-ae-is,0.29645883906215664,roberta,0.8201862173,0.7801674484,0.7995852469,0.7512451991,0.7533429319,0.7974126466,0.8339882307,0.7920161485,0.8364902543,0.7848219585,
webkb,gmm-is,0.2998604117436791,roberta,0.8228169948,0.8173066090,0.7785515175,0.7439674612,0.7917282138,0.8221308029,0.8153944113,0.7904697460,0.8648039099,0.8013587523,
webkb,no-is,0.0,roberta,0.8295684133,0.7801884157,0.8110651332,0.7773460847,0.7754312922,0.8219544946,0.8567244317,0.8389314590,0.8387731559,0.8390744696,
webkb,sublinear-ae-is,0.24993562537270864,roberta,0.8260248949,0.8141714856,0.7973634426,0.7648834975,0.7958284468,0.8063525508,0.8462593822,0.8178941053,0.8603744204,0.7707549054,
wos11967,adaptive-cluster-is,0.39889316691446053,roberta,0.8559835687,0.8683766969,0.8656448644,0.8688893971,0.8628181272,0.8585377968,0.8449761803,0.8330163833,0.8608254105,0.8444291548,
wos11967,adaptive-perplexity,0.37827155640851706,roberta,0.8661885709,0.8668771549,0.8640130344,0.8652375565,0.8548841934,0.8612000550,0.8546421585,0.8382155444,0.8575836276,0.8365647036,
wos11967,autoencoder-is,0.24994661289595407,roberta,0.8685677091,0.8689801206,0.8633563088,0.8649924874,0.8553321106,0.8467813969,0.8654402071,0.8496420589,0.8640185110,0.8367263092,
wos11967,biois,0.3679191787639132,roberta,0.8671801068,0.8640299563,0.8634689635,0.8634221156,0.8630570264,0.8549100009,0.8591868037,0.8452890239,0.8661317267,0.8461732590,
wos11967,entropy-sublinear-ae-is,0.1849622249020225,roberta,0.8694120196,0.8737717139,0.8665107552,0.8658092380,0.8589848622,0.8570131323,0.8528563390,0.8485323319,0.8633951610,0.8439407143,
wos11967,gmm-is,0.2998987963053238,roberta,0.8649419286,0.8639638681,0.8668456313,0.8657283856,0.8594746562,0.8654285648,0.8523418897,0.8413177116,0.8545128856,0.8503796874,
wos11967,no-is,0.0,roberta,0.8544084663,0.8652754431,0.8690933192,0.8641007132,0.8625536878,0.8636954009,0.8655426938,0.8478223603,0.8674430695,0.8588802359,
wos11967,sublinear-ae-is,0.2500023206162357,roberta,0.8576599095,0.8576169719,0.8728061561,0.8651874481,0.8696382195,0.8553158981,0.8571146479,0.8439283144,0.8674910220,0.8558598874,
wos5736,adaptive-cluster-is,0.4093641701304614,roberta,0.8678507192,0.8975245884,0.8948062632,0.8757076227,0.8845556561,0.8935496768,0.8945233057,0.8791686942,0.8978583855,0.9224424761,
wos5736,adaptive-perplexity,0.4082014922589825,roberta,0.8837328315,0.9035574833,0.8839025807,0.8934035806,0.9025187718,0.8804333950,0.8828997823,0.9011935074,0.8881339541,0.8907260950,
wos5736,autoencoder-is,0.24988377723861924,roberta,0.8692331557,0.9095262725,0.8558909839,0.8992603300,0.8981727451,0.8846508120,0.9048936478,0.9036312487,0.8957233346,0.9149774232,
wos5736,biois,0.3553192203068011,roberta,0.8530121037,0.8997745444,0.8772661806,0.8944811147,0.8923685347,0.8807927213,0.8927104516,0.8951092735,0.8628884015,0.8998427954,
wos5736,entropy-sublinear-ae-is,0.2377768024696333,roberta,0.8801212276,0.8995929882,0.9027452991,0.8855729120,0.8961497637,0.8920703183,0.9089930740,0.8990039672,0.9064195925,0.9128360449,
wos5736,gmm-is,0.2998605326863431,roberta,0.8827275206,0.9051292946,0.8893250072,0.8858190505,0.8970116621,0.8784631314,0.8985543529,0.8952516015,0.8838206156,0.9089712819,
wos5736,no-is,0.0,roberta,0.8916694578,0.9129649388,0.8858290632,0.8959322434,0.9078773576,0.9004530057,0.9091227003,0.8999538630,0.9039672403,0.9134661972,
