dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
vader_movie,adaptive-cluster-is,0.4217244898181104,roberta,344.26,285.06,253.11,254.95,305.78,284.85,248.29,245.98,263.39,301.66,
vader_movie,adaptive-perplexity,0.36686231916090994,roberta,274.53,267.59,271.36,319.96,322.81,266.95,272.78,269.76,270.57,270.33,
vader_movie,autoencoder-is,0.24991589018367127,modernbert,410.55,489.76,409.49,408.53,409.75,408.75,409.20,410.86,408.70,408.96,
vader_movie,autoencoder-is,0.24991589018367127,roberta,304.11,362.28,305.64,302.95,303.13,305.48,302.99,362.06,304.23,303.32,
vader_movie,biois,0.3312831184672829,modernbert,363.46,359.61,359.55,359.31,434.47,360.68,359.48,359.24,363.07,431.66,
vader_movie,biois,0.3312831184672829,roberta,282.64,337.65,336.96,281.24,281.27,337.83,281.46,339.43,338.40,337.74,
vader_movie,entropy-sublinear-ae-is,0.27642141763870653,modernbert,395.14,478.16,379.49,412.47,388.75,399.81,386.87,395.94,392.24,410.27,
vader_movie,entropy-sublinear-ae-is,0.27642141763870653,roberta,351.95,353.92,280.85,362.88,344.20,295.60,347.92,294.00,288.53,302.49,
vader_movie,gmm-is,0.299899064683082,roberta,367.50,366.13,366.37,307.73,307.52,307.71,366.27,307.67,366.97,307.77,
vader_movie,no-is,0.0,modernbert,537.96,537.58,539.51,538.27,642.87,536.57,539.33,539.39,538.83,538.36,
vader_movie,no-is,0.0,roberta,420.13,418.88,419.26,419.15,419.33,419.10,503.06,419.51,419.31,502.36,
vader_movie,sublinear-ae-is,0.24997897061113888,modernbert,492.02,409.77,409.41,409.47,412.00,410.20,409.50,412.13,409.65,409.52,
vader_movie,sublinear-ae-is,0.24997897061113888,roberta,304.98,362.85,365.26,365.55,303.72,303.65,363.94,365.34,303.79,303.72,
webkb,adaptive-cluster-is,0.4251458711508005,roberta,234.54,273.98,270.88,231.65,264.26,225.00,274.80,269.41,296.64,272.19,
webkb,adaptive-perplexity,0.4052255877437614,roberta,238.06,237.67,274.16,318.51,235.54,274.57,236.51,237.79,238.47,237.16,
webkb,autoencoder-is,0.24985430986672624,modernbert,445.25,380.66,381.05,318.35,380.74,318.30,380.84,380.93,380.91,380.88,
webkb,autoencoder-is,0.24985430986672624,roberta,328.70,328.13,281.71,281.64,327.84,327.72,327.62,283.21,281.79,328.85,
webkb,biois,0.3849385269690523,modernbert,314.53,313.87,365.25,313.57,313.59,313.55,366.65,314.07,314.00,314.72,
webkb,biois,0.3849385269690523,roberta,249.89,249.06,248.45,208.68,210.05,246.95,286.27,249.23,248.92,249.32,
webkb,entropy-sublinear-ae-is,0.29645883906215664,modernbert,359.11,361.46,361.78,412.09,355.43,417.44,356.68,426.26,355.87,415.78,
webkb,entropy-sublinear-ae-is,0.29645883906215664,roberta,353.68,311.14,355.41,307.44,305.95,265.77,307.20,315.71,306.46,306.80,
