dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
trec,autoencoder-is,0.2998058559131903,roberta,0.9297646045,0.8981698031,0.9474096479,0.9425119514,0.9371153297,0.9386244533,0.9118240316,0.8697582376,0.9324525220,0.9603046661,
trec,biois,0.4218002890831383,roberta,0.9431932750,0.9390865501,0.9211894241,0.9443826512,0.9325806132,0.9376380046,0.9176132898,0.8848608692,0.9412303952,0.9543549518,
trec,gmm-is,0.2998058559131903,roberta,0.9168662711,0.9436280378,0.9449378294,0.9404808799,0.9592381444,0.9270725317,0.9596754415,0.9337015325,0.9502320828,0.9602215626,
trec,no-is,0.0,roberta,0.9380182682,0.9633782397,0.9469094208,0.9659333351,0.9653872526,0.9335165870,0.9581191648,0.9412980576,0.9529418824,0.9683203620,
trec,perplexity-is,0.2998058559131903,roberta,0.9272176665,0.9518058001,0.9438818387,0.9414745660,0.9586123634,0.9396334053,0.9378991639,0.9577731449,0.9590455312,0.9674821897,
twitter,adaptive-perplexity,0.2729262796737729,roberta,0.7859891636,0.7924545686,0.7849851723,0.7778246330,0.8068491748,0.7237137086,0.7158204121,0.7380008443,0.8089568454,0.7926768979,
twitter,adaptive-v2-perplexity,0.3843234387094663,roberta,0.7697933567,0.7960537238,0.7589918807,0.7638763693,0.7637156618,0.6922576884,0.7616306182,0.7193267478,0.7578822088,0.8033048386,
twitter,autoencoder-is,0.29985866588116056,roberta,0.7687940169,0.8122127385,0.8018029499,0.7925783399,0.8000962204,0.7463515428,0.7499361409,0.7574285360,0.7929019969,0.7871047815,
twitter,biois,0.3647912682338563,roberta,0.7493994193,0.7910550676,0.7554371229,0.7345089687,0.7722089969,0.7430631340,0.7629714363,0.7315540117,0.7682729254,0.7893871016,
twitter,gmm-is,0.29985866588116056,roberta,0.7466793635,0.7764956340,0.7905043473,0.7524363938,0.8167049199,0.7286080010,0.7441874904,0.7511138473,0.7772031138,0.7976402721,
twitter,no-is,0.0,roberta,0.7611340847,0.8002008588,0.7768810704,0.7751742518,0.8153519845,0.7676049117,0.7735832979,0.7668037574,0.7695035837,0.7900890582,
twitter,perplexity-is,0.29985866588116056,roberta,0.7847197133,0.8110622182,0.7757150539,0.7687952782,0.7947511247,0.7028885586,0.7320586989,0.7565810055,0.7838926546,0.7504524680,
vader_movie,adaptive-perplexity,0.1669187499670468,roberta,0.9253275441,0.9083109455,0.9261982512,0.9309363658,0.9034692825,0.9139069765,0.9223348342,0.9043415635,0.9089468749,0.9014925373,
vader_movie,adaptive-v2-perplexity,0.38529313512946145,roberta,0.9016999182,0.9130431675,0.9157885785,0.9224202130,0.9120151372,0.8996600467,0.9071966368,0.9024613340,0.9034035470,0.9052908003,
vader_movie,autoencoder-is,0.299899064683082,roberta,0.9206046312,0.9073455819,0.9100840374,0.9309356240,0.9195811363,0.9044451784,0.9147727273,0.9043456814,0.9061974265,0.9090905830,
vader_movie,biois,0.3659265174539452,roberta,0.9120982201,0.9053954969,0.9082190125,0.9110651629,0.9110689838,0.9063356764,0.9052999731,0.8967802105,0.9062398264,0.9099790292,
